"NO","시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","동","층","매수자","매도자","건축년도","도로명","해제사유발생일","거래유형","중개사소재지","등기일자"
"1","서울특별시 도봉구 방학동","731","0731","0000","한화성원아파트","84.9800","202508","12","48,500","-","12","개인","개인","1996","방학로11길 10","-","중개거래","서울 도봉구","-"
"2","서울특별시 강북구 수유동","48-8","0048","0008","수유프리미어엠","19.0000","202508","12","12,100","-","7","개인","개인","2016","덕릉로 76","-","중개거래","서울 강북구","-"
"3","서울특별시 마포구 망원동","521","0521","0000","마포한강아이파크","84.5800","202508","12","135,000","-","2","개인","개인","2019","희우정로 77","-","중개거래","서울 광진구","-"
"4","서울특별시 강서구 방화동","852","0852","0000","마곡중앙하이츠아파트","39.5800","202508","12","39,600","-","7","개인","개인","1994","양천로6길 28","-","중개거래","서울 강서구","-"
"5","서울특별시 노원구 공릉동","741","0741","0000","현대성우아파트","59.9800","202508","12","49,500","-","5","개인","개인","2000","공릉로27길 110","-","중개거래","서울 노원구","-"
"6","서울특별시 노원구 하계동","255-1","0255","0001","삼익선경","107.9500","202508","11","89,000","-","6","개인","개인","1993","노원로 214","-","중개거래","서울 노원구","-"
"7","서울특별시 도봉구 도봉동","87","0087","0000","삼환도봉","73.8900","202508","11","54,500","-","15","개인","개인","1987","도봉로180길 6-83","-","중개거래","서울 도봉구","-"
"8","서울특별시 노원구 공릉동","81","0081","0000","태강아파트(아이파크)","49.6000","202508","11","47,500","-","3","개인","개인","1999","공릉로34길 62","-","중개거래","서울 노원구","-"
"9","서울특별시 양천구 신정동","326","0326","0000","목동신시가지12","53.4600","202508","11","182,000","-","12","개인","개인","1988","목동동로 50","-","중개거래","경기 고양시 일산동구, 서울 양천구","-"
"10","서울특별시 성동구 하왕십리동","1070","1070","0000","센트라스","59.5900","202508","11","162,000","-","5","개인","개인","2016","왕십리로 410","-","중개거래","서울 성동구","-"
"11","서울특별시 강동구 성내동","194","0194","0000","에스케이허브진","33.7100","202508","11","32,500","-","14","개인","개인","2004","천호대로 1092","-","중개거래","서울 강동구","-"
"12","서울특별시 도봉구 쌍문동","56","0056","0000","삼익세라믹","40.1100","202508","11","27,500","-","5","개인","개인","1988","해등로 195","-","중개거래","서울 노원구, 서울 도봉구","-"
"13","서울특별시 중랑구 신내동","437","0437","0000","벽산","59.7830","202508","11","50,000","-","15","개인","개인","2000","용마산로125길 50","-","중개거래","서울 중랑구","-"
"14","서울특별시 금천구 시흥동","266-2745","0266","2745","애시안아파트","58.0500","202508","11","36,000","-","2","개인","개인","2013","탑골로2길 55","-","중개거래","서울 금천구","-"
"15","서울특별시 강서구 가양동","1475","1475","0000","강변","39.6000","202508","11","59,900","-","3","개인","개인","1992","허준로 139","-","중개거래","서울 강서구","-"
"16","서울특별시 강서구 화곡동","923-10","0923","0010","남광쉐르빌(923-10)","31.8300","202508","11","17,000","-","8","개인","개인","2014","강서로7길 128","-","중개거래","서울 강서구","-"
"17","서울특별시 구로구 고척동","320","0320","0000","센츄리","84.5600","202508","11","49,500","-","1","개인","개인","1994","중앙로12길 12","-","중개거래","서울 구로구","-"
"18","서울특별시 송파구 가락동","21-6","0021","0006","가락쌍용(2차)","59.8800","202508","11","132,000","-","19","개인","개인","1999","송이로15길 31","-","중개거래","서울 송파구","-"
"19","서울특별시 양천구 신월동","1063","1063","0000","롯데캐슬","84.9840","202508","10","104,300","-","11","개인","개인","2014","중앙로29길 61","-","중개거래","서울 양천구","-"
"20","서울특별시 양천구 신월동","1077","1077","0000","목동센트럴아이파크위브3단지","84.9800","202508","10","113,200","-","16","개인","개인","2020","남부순환로83길 48","-","중개거래","서울 양천구","-"
"21","서울특별시 양천구 신정동","1323","1323","0000","목동힐스테이트","84.9300","202508","10","180,000","-","16","개인","개인","2016","중앙로36길 15","-","중개거래","서울 양천구","-"
"22","서울특별시 은평구 역촌동","50-24","0050","0024","디딤빌아파트","84.3200","202508","10","46,500","-","6","개인","개인","2000","갈현로 100","-","중개거래","서울 은평구","-"
"23","서울특별시 은평구 역촌동","50-24","0050","0024","디딤빌아파트","84.3200","202508","10","46,500","-","6","개인","개인","2000","갈현로 100","20250812","중개거래","서울 은평구","-"
"24","서울특별시 동대문구 전농동","10","0010","0000","전농SK","84.9500","202508","10","101,000","-","15","개인","개인","2000","사가정로 148","-","중개거래","서울 동대문구","-"
